company_location,company_name,company_url,job_detail_url,job_listed,job_title
"Larangan Selatan, Banten, Indonesia",Universitas AMIKOM Yogyakarta,https://id.linkedin.com/company/universitasamikomyogyakarta?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-universitas-amikom-yogyakarta-3803584952?refId=b0rUxhFGmS2OTvN0xV%2BKrw%3D%3D&trackingId=J1hDaO3G3zlODEcrcGD8wg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-11,Data Scientist
"Jakarta, Jakarta, Indonesia",KECILIN,https://id.linkedin.com/company/kecilin?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/ai-engineer-at-kecilin-3792027583?refId=b0rUxhFGmS2OTvN0xV%2BKrw%3D%3D&trackingId=V0Ye5nL%2B3L2h5nPxdSA4zA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-12-26,AI Engineer
Jakarta Metropolitan Area,Traveloka,https://sg.linkedin.com/company/traveloka?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/machine-learning-engineer-product-at-traveloka-3781528690?refId=b0rUxhFGmS2OTvN0xV%2BKrw%3D%3D&trackingId=S1AIjygMgimt60qP0OJUEQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-12-07,Machine Learning Engineer (Product)
Jakarta Metropolitan Area,Traveloka,https://sg.linkedin.com/company/traveloka?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-traveloka-3774429187?refId=b0rUxhFGmS2OTvN0xV%2BKrw%3D%3D&trackingId=qOVOFhbBb%2BN8Ri7b0a3dNg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-11-28,Data Scientist
"Jakarta, Jakarta, Indonesia",Nikel,https://id.linkedin.com/company/nikel-embedded?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/sr-data-scientist-risk-analytics-at-nikel-3787777255?refId=b0rUxhFGmS2OTvN0xV%2BKrw%3D%3D&trackingId=IUQSruFTr8k39iNGuKxPHg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-12-16,Sr. Data Scientist (Risk Analytics)
"Jakarta, Jakarta, Indonesia",NRI (Nomura Research Institute),https://jp.linkedin.com/company/nri-nomura-research-institute?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/machine-learning-engineer-mle-at-nri-nomura-research-institute-3813985685?refId=b0rUxhFGmS2OTvN0xV%2BKrw%3D%3D&trackingId=9ryvcZLtjOlHfHizTuFydw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-12-30,Machine Learning Engineer (MLE)
Indonesia,Fingerprint for Success (F4S),https://au.linkedin.com/company/fingerprint-for-success?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/expression-of-interest-data-scientist-at-fingerprint-for-success-f4s-3787780973?refId=b0rUxhFGmS2OTvN0xV%2BKrw%3D%3D&trackingId=U7khCYfq4LBE7YtgpoyxXg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-12-16,Expression of Interest: Data Scientist
Jakarta Metropolitan Area,PT. Neural Technologies Indonesia,https://id.linkedin.com/company/pt-neural-technologies-indonesia?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/middle-data-scientist-at-pt-neural-technologies-indonesia-3796394566?refId=b0rUxhFGmS2OTvN0xV%2BKrw%3D%3D&trackingId=FTMq21%2BBnrB8J%2BAj8gff8g%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-08,Middle Data Scientist
Jakarta Metropolitan Area,PASIFIK SATELIT NUSANTARA,https://id.linkedin.com/company/pasifik-satelit-nusantara?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/ai-application-engineer-at-pasifik-satelit-nusantara-3814912636?refId=b0rUxhFGmS2OTvN0xV%2BKrw%3D%3D&trackingId=f8jQs%2FxnOgy4AXksnWkzIA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-25,AI Application Engineer
company_location,company_name,company_url,job_detail_url,job_listed,job_title
"Jakarta, Jakarta, Indonesia",Amar Bank,https://id.linkedin.com/company/ptbank-amar-indonesia-tbk?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/jr-data-scientist-at-amar-bank-3763380314?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=UPkXN6JpP9FoM%2BX6JFLdfQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-11-21,Jr Data Scientist
"Jakarta, Indonesia",ilmuOne Data,https://id.linkedin.com/company/ilmuone-data?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-ilmuone-data-3815728743?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=uC5UqXbsZpvMhIMzu5znoQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-29,Data Scientist
"Bandung, West Java, Indonesia",MSBU - IT Staffing & Recruiting,https://id.linkedin.com/company/msbu?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-msbu-it-staffing-recruiting-3813182420?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=ZYpsrT6r%2BkgVqDIY1ZL4Kw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-30,Data Scientist
"Jakarta, Jakarta, Indonesia",byOrange,https://id.linkedin.com/company/byorange?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-byorange-3787773447?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=YJnPgEw55HDKxC9dbHWFbQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-12-16,Data Scientist
"Jakarta, Indonesia",Blue Bird Group,https://id.linkedin.com/company/bluebirdgroup?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-blue-bird-group-3797298899?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=18%2BuNwJz3s578qFBX6a7bw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-03,Data Scientist
"Jakarta, Indonesia",Generali Indonesia,https://id.linkedin.com/company/generali-indonesia?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-generali-indonesia-3796383176?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=BJ4x3s7ylBdQB7esa39NHQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-08,Data Scientist
"Jakarta, Indonesia",KAZOKKU,https://id.linkedin.com/company/kazokku-indonesia?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/machine-learning-engineer-at-kazokku-3813191801?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=v8SARVUchS344odxg%2BvelA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-30,Machine Learning Engineer
Jakarta Metropolitan Area,Kelola Talenta Global,https://id.linkedin.com/company/kelola-talenta-global?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/machine-learning-engineer-at-kelola-talenta-global-3787918928?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=eldiefE2txU27h%2BNajSRHw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-12-16,Machine Learning Engineer
Jakarta Metropolitan Area,Traveloka,https://sg.linkedin.com/company/traveloka?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-fraud-risk-at-traveloka-3814517699?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=rbvDXzNppSKybmFQmDc7fQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-25,Data Scientist (Fraud & Risk)
Jakarta Metropolitan Area,Cermati.com,https://id.linkedin.com/company/cermati?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-risk-platform-at-cermati-com-3767576333?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=nVfbtUqnD1QKoDPrmuAq0Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-19,Data Scientist - Risk Platform
Jakarta Metropolitan Area,Grab,https://sg.linkedin.com/company/grabapp?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-analytics-ads-at-grab-3814507630?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=iC36CmR4gbV9JxY1dzA3mQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-25,Data Scientist (Analytics) - Ads
Jakarta Metropolitan Area,Prakerja,https://id.linkedin.com/company/kartu-prakerja?trk=public_jobs_jserp-result_job-search-card-subtitle,https://id.linkedin.com/jobs/view/data-scientist-at-prakerja-3801786891?refId=msX48ExmmBv6c93lBWrsPQ%3D%3D&trackingId=1fA1i0vGmLH0nGgcJfQ1uA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,2024-01-09,Data scientist
